  bin      Q2_l      Q2_h      Q2_c     x_l        x_h        x_c             xsec_c        xsec_ave    BCC_area       RC_sf     rxsec_c      area
    1      177.80    223.90    200.00   0.0025100  0.0039800  0.0020000     2105.669434   2033.136353   1.03568        0.000614  1.29267      0.0678
    2      177.80    223.90    200.00   0.0039800  0.0063100  0.0032000     1461.291016   1469.914307   0.99413        0.000856  1.25065      0.1074
    3      177.80    223.90    200.00   0.0063100  0.0100000  0.0050000      986.426086    978.066284   1.00855        0.001123  1.10738      0.1701
    4      177.80    223.90    200.00   0.0100000  0.0158500  0.0080000      602.473816    603.709412   0.99795        0.001566  0.94356      0.2697
    5      177.80    223.90    200.00   0.0158500  0.0251200  0.0130000      341.114288    352.863373   0.96670        0.002321  0.79157      0.4273
    6      177.80    223.90    200.00   0.0251200  0.0398100  0.0200000      199.868805    199.595367   1.00137        0.003387  0.67702      0.6772
    7      177.80    223.90    200.00   0.0398100  0.0631000  0.0320000      109.817886    111.080467   0.98863        0.005224  0.57368      1.0737
    8      177.80    223.90    200.00   0.0631000  0.1000000  0.0500000       61.896957     61.492859   1.00657        0.007984  0.49417      1.7011
    9      177.80    223.90    200.00   0.1000000  0.1710000  0.0800000       33.853374     34.039627   0.99453        0.012587  0.42611      3.2731
   10      177.80    223.90    200.00   0.1710000  0.3162300  0.1300000       17.993856     17.697783   1.01673        0.020261  0.36458      6.6951
   11      177.80    223.90    200.00   0.3162300  1.0000000  0.1800000       11.442186      7.500644   1.52549        0.027936  0.31965     31.5218
   12      223.90    281.80    200.00   0.0015800  0.0025100  0.4000000        2.351494      0.796353   2.95283        0.061708  0.14511      0.0538
   14      223.90    281.80    250.00   0.0039800  0.0063100  0.0032000      850.369202    845.858093   1.00533        0.001457  1.23939      0.1349
   15      223.90    281.80    250.00   0.0063100  0.0100000  0.0050000      589.671631    575.489990   1.02464        0.001907  1.12452      0.2137
   16      223.90    281.80    250.00   0.0100000  0.0158500  0.0080000      371.233093    366.008942   1.01427        0.002594  0.96309      0.3387
   17      223.90    281.80    250.00   0.0158500  0.0251200  0.0130000      214.397385    218.214096   0.98251        0.003763  0.80684      0.5367
   18      223.90    281.80    250.00   0.0251200  0.0398100  0.0200000      126.855759    124.820389   1.01631        0.005424  0.68802      0.8506
   19      223.90    281.80    250.00   0.0398100  0.0631000  0.0320000       70.055046     69.835152   1.00315        0.008289  0.58066      1.3485
   20      223.90    281.80    250.00   0.0631000  0.1000000  0.0500000       39.533367     38.714287   1.02116        0.012598  0.49804      2.1365
   21      223.90    281.80    250.00   0.1000000  0.1710000  0.0800000       21.595778     21.405392   1.00889        0.019788  0.42735      4.1109
   22      223.90    281.80    250.00   0.1710000  0.3162300  0.1300000       11.443496     11.093105   1.03159        0.031778  0.36365      8.4088
   23      223.90    281.80    250.00   0.3162300  1.0000000  0.1800000        7.254972      4.672611   1.55266        0.043770  0.31755     39.5903
   24      281.80    354.80    250.00   0.0015800  0.0025100  0.4000000        1.471613      0.490058   3.00294        0.096537  0.14207      0.0679
   26      281.80    354.80    300.00   0.0039800  0.0063100  0.0032000      549.918335    470.025177   1.16998        0.002198  1.20847      0.1701
   27      281.80    354.80    300.00   0.0063100  0.0100000  0.0050000      382.190002    332.908813   1.14803        0.002958  1.13070      0.2694
   28      281.80    354.80    300.00   0.0100000  0.0158500  0.0080000      247.095215    218.318344   1.13181        0.003953  0.97687      0.4271
   29      281.80    354.80    300.00   0.0158500  0.0251200  0.0130000      145.580750    133.423813   1.09112        0.005623  0.81854      0.6767
   30      281.80    354.80    300.00   0.0251200  0.0398100  0.0200000       87.043510     77.478745   1.12345        0.008003  0.69658      1.0724
   31      281.80    354.80    300.00   0.0398100  0.0631000  0.0320000       48.356102     43.691486   1.10676        0.012120  0.58607      1.7002
   32      281.80    354.80    300.00   0.0631000  0.1000000  0.0500000       27.346697     24.296476   1.12554        0.018320  0.50100      2.6937
   33      281.80    354.80    300.00   0.1000000  0.1710000  0.0800000       14.936141     13.434319   1.11179        0.028671  0.42824      5.1830
   34      281.80    354.80    300.00   0.1710000  0.3162300  0.1300000        7.899431      6.946435   1.13719        0.045934  0.36285     10.6018
   35      281.80    354.80    300.00   0.3162300  1.0000000  0.1800000        4.997264      2.909931   1.71731        0.063201  0.31583     49.9152
   36      354.80    446.70    300.00   0.0015800  0.0025100  0.4000000        1.003468      0.301669   3.32639        0.139185  0.13967      0.0855
   39      354.80    446.70    400.00   0.0063100  0.0100000  0.0050000      190.111206    191.308746   0.99374        0.005876  1.11701      0.3391
   40      354.80    446.70    400.00   0.0100000  0.0158500  0.0080000      126.967552    127.860840   0.99301        0.007811  0.99177      0.5376
   41      354.80    446.70    400.00   0.0158500  0.0251200  0.0130000       77.728607     80.450409   0.96617        0.010745  0.83516      0.8519
   42      354.80    446.70    400.00   0.0251200  0.0398100  0.0200000       47.513107     47.649796   0.99713        0.014932  0.70945      1.3500
   43      354.80    446.70    400.00   0.0398100  0.0631000  0.0320000       26.743473     27.162991   0.98456        0.022215  0.59412      2.1404
   44      354.80    446.70    400.00   0.0631000  0.1000000  0.0500000       15.205614     15.178070   1.00181        0.033216  0.50506      3.3911
   45      354.80    446.70    400.00   0.1000000  0.1710000  0.0800000        8.320494      8.406746   0.98974        0.051602  0.42935      6.5249
   46      354.80    446.70    400.00   0.1710000  0.3162300  0.1300000        4.397370      4.344660   1.01213        0.082281  0.36182     13.3466
   47      354.80    446.70    400.00   0.3162300  1.0000000  0.1800000        2.773928      1.810698   1.53197        0.112973  0.31338     62.8385
   48      446.70    562.30    400.00   0.0015800  0.0025100  0.4000000        0.548259      0.185679   2.95272        0.248049  0.13600      0.1075
   51      446.70    562.30    500.00   0.0063100  0.0100000  0.0050000      112.691071    105.927307   1.06385        0.009592  1.08096      0.4266
   52      446.70    562.30    500.00   0.0100000  0.0158500  0.0080000       74.355591     73.746933   1.00825        0.013373  0.99433      0.6763
